Author,Review URL,Description,Rating
Mahanthy,https://www.zoma.to/bbkKXlo,,1
Purvi Singh,https://www.zoma.to/pROBnBR,Order wrong,1
Harush Ck,https://www.zoma.to/pRbDyBO,not packed well...burger was wet bcz of coke,1
Nikita Kakatkar,https://www.zoma.to/GNLEvBd,Ordered 2 Fanta Received only 1,1
Mandar Joshi,https://www.zoma.to/oRNYERZ,,5
Kamakshi Kamath,https://www.zoma.to/kDYxqqX,,5
Jagadeeswaran,https://www.zoma.to/QqGkwNY,kindly provide Hot Quality because while here we are getting hot lesss burger only ,3
Yash C,https://www.zoma.to/zbbqwNp,,4
RahulChettan,https://www.zoma.to/pRRkZqk,"That was not the Mcspicy fried chicken. Looks like they were out and sent one from a nearby local shop. Tasted disgusting, coming from someone who has ordered it many times. ",1
Madhuri Yelikar,https://www.zoma.to/gBBqQlb,fries became very soggy ,3
Ranadeep Roy,https://www.zoma.to/zbZqKwL,,5
Madhu,https://www.zoma.to/vRBpepG,,5
Dheeraj,https://www.zoma.to/eAbkMzn,we have ordered for  travelling worest thing is sauce packets r not given in that packing ,4
Kamakshi Kamath,https://www.zoma.to/mbrdBpX,,5
Sandeep Gangadaran,https://www.zoma.to/MNkkAbK,,4
Pankaj Yadav,https://www.zoma.to/lwxpbYM,"Don't order McSpicy Fried chicken from here, felt like a rotten chicken fried in million times used oil. <br/><br/>In combo, Fanta was 90% ice... Cheese fries were one of the worst fries I had in my life at MacD",1
Karthick,https://www.zoma.to/qnenwpB,Food prepared 2 days back I think it's,1
Maninder Kaur,https://www.zoma.to/ybnxqXO,mac chicken burger was stale.,3
Krishna Paripurnam,https://www.zoma.to/DONmrrg,,5
Mxly,https://www.zoma.to/LPnqZek,,1
Manjunath D,https://www.zoma.to/Eaglwaw,McCrispy needs lots and lots of improvement. get some flavours in it.,1
Syed Hassan Shah,https://www.zoma.to/XLngOYl,No ketchup no tissue this is just ignorance of staff,1
Bharath,https://www.zoma.to/nkLxrby,missing items,1
Pallavi,https://www.zoma.to/nkLbRwo,,4
Pooja,https://www.zoma.to/OxanemM,The quantity of fries is very less and also very salty ,1
Kavya Shree,https://www.zoma.to/LPNdDox,,1
Augustus Martin,https://www.zoma.to/GNdGPNy,,5
Ashutosh,https://www.zoma.to/RkRlREN,dish were delivered late and got cold n soggy,1
Naveen,https://www.zoma.to/mrLnLlm,it was not at all heat,1
"Hitanshu Seth,Achievers",https://www.zoma.to/ZLzbXLr,burger size was very small in fries also cheese was not sufficient ,3
Sarthak Patel,https://www.zoma.to/vBednGa,,1
Sajid Balikai,https://www.zoma.to/rRyraYa,"Not good packing, leakage, food got cold and wet with leakage",1
Ashwani Gaur,https://www.zoma.to/yqmBpQR,,5
Aayushi Mishra,https://www.zoma.to/ebNdQDA,"its mention ketchup is there but you didn't send that , after taking so much money gst and all one ketchup you didn't provide thats the only bad thing i dont like rest quality was  good also please try to deliver the order keeping in some warm packets so that it get's warm",4
MANIKANDAN,https://www.zoma.to/zZAEbOp,,1
Pujitha,https://www.zoma.to/rRpXdQO,,2
Siva,https://www.zoma.to/YlGzMQk,,2
Sherwin Philip,https://www.zoma.to/rRpOMGw,The food sent was stale. Bad buns and warm coke. Horrendous,1
YOGESH SAPALIGA,https://www.zoma.to/YlGdyab,tasty food ,4
