Review,Sentiment
worest food. food quantity also very less ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Raita quantity is less,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Seems mixed white rice with biryani,testless","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The worst biriyani I ever had,"{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}"
"I ordered butter chicken, however restaurant sent me mostly gravy. There was hardly any chicken in it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Pieces is very less for 400 rs biryani. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Briyani rice quantity is very less nowadays. Meghana foods has increased the price and has also decreased the quantity of rice. ,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2732}"
Food is cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Meghana is good ... Zomato is cheating to the customers,"{'neg': 0.248, 'neu': 0.552, 'pos': 0.2, 'compound': -0.1779}"
Less masala on rice just like white flavoured rice,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}"
"it was soo spicy , I have had the same biryani for more then 10 times but today the spice level was unbearable...bad bad quality..waste of chicken and so much rice. if there is already an option to of spicy biryani there is no need to make the regular biryani so spicy...will never order again...","{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.8201}"
Worst lollipop in life,"{'neg': 0.577, 'neu': 0.423, 'pos': 0.0, 'compound': -0.6249}"
over rated,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"oh my god I feel terrified, there are leftover bones in the rice I can't imagine how it came, I feel like it's leftover food of last night and they send it me by just heating, I paid 401 it not really not worthy, I'm a regular customer of meghana foods since few days it's not that much quality as it was earlier I'm not gonna place any order from meghana now on.good bye .","{'neg': 0.053, 'neu': 0.857, 'pos': 0.09, 'compound': 0.2135}"
guthka packet found in chicken packet pathetic ,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.5719}"
Biriani is too salty.. no masalas.. only making fool in name of Maghana,"{'neg': 0.317, 'neu': 0.683, 'pos': 0.0, 'compound': -0.6249}"
very good food ,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}"
Late delivery,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
super spicy 🥵,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}"
Lemon chicken was very bad taste a d seems to be old.,"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.5849}"
Paneer biryani taste was not good. It was very blend with no masala.,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.5953}"
Paneer quantity too less as per price.Not worth.,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.2263}"
I order extra gravy but you forgot to send gravy sent raita extra...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
cold food,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Food is not fresh ,"{'neg': 0.395, 'neu': 0.605, 'pos': 0.0, 'compound': -0.2411}"
gravy was not up to par,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Food quality was very bad.,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.5849}"
