Review,Sentiment
Order wrong,"{'neg': 0.756, 'neu': 0.244, 'pos': 0.0, 'compound': -0.4767}"
not packed well...burger was wet bcz of coke,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Ordered 2 Fanta Received only 1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
kindly provide Hot Quality because while here we are getting hot lesss burger only ,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}"
"That was not the Mcspicy fried chicken. Looks like they were out and sent one from a nearby local shop. Tasted disgusting, coming from someone who has ordered it many times. ","{'neg': 0.1, 'neu': 0.826, 'pos': 0.074, 'compound': -0.2263}"
fries became very soggy ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
we have ordered for  travelling worest thing is sauce packets r not given in that packing ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Don't order McSpicy Fried chicken from here, felt like a rotten chicken fried in million times used oil. <br/><br/>In combo, Fanta was 90% ice... Cheese fries were one of the worst fries I had in my life at MacD","{'neg': 0.169, 'neu': 0.774, 'pos': 0.057, 'compound': -0.7096}"
Food prepared 2 days back I think it's,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.2263}"
mac chicken burger was stale.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
McCrispy needs lots and lots of improvement. get some flavours in it.,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.4588}"
No ketchup no tissue this is just ignorance of staff,"{'neg': 0.496, 'neu': 0.504, 'pos': 0.0, 'compound': -0.7096}"
missing items,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}"
The quantity of fries is very less and also very salty ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
dish were delivered late and got cold n soggy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
it was not at all heat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
burger size was very small in fries also cheese was not sufficient ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Not good packing, leakage, food got cold and wet with leakage","{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.3412}"
"its mention ketchup is there but you didn't send that , after taking so much money gst and all one ketchup you didn't provide thats the only bad thing i dont like rest quality was  good also please try to deliver the order keeping in some warm packets so that it get's warm","{'neg': 0.116, 'neu': 0.704, 'pos': 0.18, 'compound': 0.474}"
The food sent was stale. Bad buns and warm coke. Horrendous,"{'neg': 0.424, 'neu': 0.465, 'pos': 0.11, 'compound': -0.7506}"
tasty food ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
