Review,Sentiment
"cooking request, to have the order non spicy and without chillies were ignored. chicken steak had lots of red chilli flakes on it :-(","{'neg': 0.094, 'neu': 0.831, 'pos': 0.074, 'compound': -0.1376}"
best food always,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}"
Good taste ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}"
Amazing italian taste and good packing.,"{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.7717}"
"fish and chips were excellent, bread was old and terrible","{'neg': 0.209, 'neu': 0.541, 'pos': 0.25, 'compound': 0.1531}"
food was cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
yuk. not good.. fully saggy ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The pasta masala taste similar to peri peri chicken masala. Are you making dishes from same items?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Too sweet! Doesn't taste appetizing. ,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.5093}"
All dishes i ordered was yum except chicken pop corn so i have rated 4 star,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
not much good... chicken didn't cooked well... as well quantity is low for half chicken....,"{'neg': 0.122, 'neu': 0.756, 'pos': 0.122, 'compound': 0.0}"
Both items were good. Burger could have been better w.r.t Patty. (Little more tasty and crispy),"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.7003}"
No sundried tomatoes in pasta,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}"
They don't know how to make blueberry cheesecake waste of money...   pasta is also so so,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.4215}"
"quantity of mashed potato can be increased,  removing the rice.","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}"
the pasta lacked proper seasoning and the garlic bread and french fries were soggy. the tart toppled inside the box and the chocolate spilled everywhere ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Order missing,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}"
Chocolate truffle was not fresh. Wrap was not upto the mark.,"{'neg': 0.164, 'neu': 0.836, 'pos': 0.0, 'compound': -0.2411}"
it was not at all good. we got sick after having the burgers,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.6914}"
butter garlic prawn. it's not butter garlic. i don't know what it is.<br/>mushroom pasta. mushroom noodles. i didn't expect this. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"No knife, candles and nothing written on top of cake.","{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.4199}"
the sauce in the pasta was very less,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Fantastic food as always. Impressed!!,"{'neg': 0.0, 'neu': 0.292, 'pos': 0.708, 'compound': 0.8065}"
no taste ,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}"
Very bad quality of popcorn and burger and for burger they have written 'truffles signature' it was very bad,"{'neg': 0.309, 'neu': 0.691, 'pos': 0.0, 'compound': -0.8218}"
great as always ❤️,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}"
"chicken wings could have been better.<br/>Also, the quantity is disappointing, 230RS for 5 pieces.<br/>You could have done better.","{'neg': 0.152, 'neu': 0.711, 'pos': 0.137, 'compound': -0.0772}"
The taste is awesome!!! omg i loved it😊😊😊,"{'neg': 0.0, 'neu': 0.36, 'pos': 0.64, 'compound': 0.8713}"
taste us good but portion is less. Else all ok,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5195}"
chicken mavo syb food is cold. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
It was very bad and not freshly cooked for sure,"{'neg': 0.269, 'neu': 0.568, 'pos': 0.163, 'compound': -0.3597}"
The choco chart was awesome. <br/>but for burgers I will go with Burger king ,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6249}"
"Taste is changed, not like before","{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2755}"
The quality has gone down terribly. The chicken wings were not even cleaned inside with blood stains. This outlet seems to be a delivery outlet. Some of the worst food considering the money they charge,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.8271}"
salad was mostly letuce only,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Thai red curry taste is very bad 🤮,"{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.5849}"
Why is the burger cold? And just bland? Looks like it's just the random burger that was already made and kept it aside!,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.4857}"
